StudentRouteStopMapIID,StudentID,PickupStopMapID,DropStopMapID,IsOneWay,PickupRouteID,DropStopRouteID,SchoolID,AcademicYearID,TransportStatusID,ClassID,SectionID
36434,3686,121468.0,121468.0,False,40867.0,40867.0,30,31,2.0,10.0,21.0
36435,16443,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,1.0,8.0
36436,5965,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,1.0,7.0
36437,18252,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,15.0,9.0
36438,18044,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,10.0,25.0
36440,18046,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,10.0,25.0
36441,16281,121983.0,121983.0,False,40874.0,40874.0,30,31,2.0,1.0,25.0
36448,4966,121468.0,121468.0,,40867.0,40867.0,30,31,,10.0,9.0
36451,17866,121470.0,121470.0,,40868.0,40868.0,30,31,,33.0,7.0
36452,4485,121493.0,121493.0,False,40875.0,40875.0,30,31,1.0,31.0,11.0
36454,1182,121985.0,121985.0,False,40876.0,40876.0,30,31,2.0,7.0,7.0
36455,17690,121985.0,121985.0,False,40876.0,40876.0,30,31,2.0,1.0,10.0
36456,2768,121985.0,121985.0,False,40876.0,40876.0,30,31,2.0,15.0,10.0
36458,2683,121985.0,121985.0,False,40876.0,40876.0,30,31,2.0,31.0,8.0
36459,1423,121985.0,121985.0,False,40876.0,40876.0,30,31,2.0,28.0,9.0
36463,2682,121985.0,121985.0,False,40876.0,40876.0,30,31,2.0,38.0,9.0
36464,17160,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,10.0,24.0
36465,17619,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,1.0,24.0
36466,1771,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,6.0,8.0
36467,3156,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,6.0,10.0
36469,18180,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,1.0,8.0
36471,17200,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,36.0,7.0
36472,17223,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,36.0,8.0
36473,17440,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,36.0,9.0
36475,4117,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,10.0,11.0
36476,17138,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,10.0,23.0
36477,5243,121987.0,121987.0,False,40881.0,40881.0,30,31,2.0,11.0,22.0
36478,3155,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,23.0,10.0
36479,4472,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,23.0,9.0
36480,3331,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,18.0,22.0
36481,3347,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,18.0,11.0
36482,4013,121986.0,121986.0,False,40881.0,40881.0,30,31,2.0,18.0,9.0
36487,2945,121472.0,121472.0,,40869.0,40869.0,30,31,,31.0,8.0
36488,17350,121893.0,121893.0,,40899.0,40899.0,30,31,,1.0,21.0
36492,18039,121988.0,121988.0,False,40867.0,40867.0,30,31,2.0,21.0,11.0
36493,163,121988.0,121988.0,False,40867.0,40867.0,30,31,2.0,6.0,11.0
36495,17368,121988.0,121988.0,False,40867.0,40867.0,30,31,2.0,36.0,9.0
36496,6084,121988.0,121988.0,False,40867.0,40867.0,30,31,2.0,1.0,22.0
36499,5774,121988.0,121988.0,False,40867.0,40867.0,30,31,2.0,11.0,23.0
36501,2751,121988.0,121988.0,False,40867.0,40867.0,30,31,2.0,15.0,22.0
36502,4736,121988.0,121988.0,False,40867.0,40867.0,30,31,2.0,18.0,11.0
36503,5032,121983.0,121983.0,False,40874.0,40874.0,30,31,1.0,11.0,10.0
