RouteStopMapIID,RouteID,StopName,Longitude,Latitude,geocode_lat,geocode_lon,final_lat,final_lon
121399,40828,PEARL QATAR,,,25.3739538,51.5183014,25.3739538,51.5183014
121401,40827,MESAIEED,,,24.9953944,51.5493583,24.9953944,51.5493583
121402,40862,WUKAIR T / A,,,25.1759556,51.5673439,25.1759556,51.5673439
121403,40804,LEBDAY,,,25.2798403,51.5038012,25.2798403,51.5038012
121404,40803,FAREEJ AL SOUDAN,,,25.2767385,51.4809771,25.2767385,51.4809771
121405,40833,AL WAKRAH,,,25.1566623,51.6013212,25.1566623,51.6013212
121406,40814,EZDAN OASIS BLOCK B,,,0.0,0.0,,
121407,40862,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121408,40786,WAKRAH SOUTH,,,0.0,0.0,,
121409,40786,WAKRAH (OOREDOO),,,0.0,0.0,,
121410,40842,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121411,40809,WAKRAH QNB SIDE,,,0.0,0.0,,
121412,40809,WAKRAH SOUQ SIDE,,,25.1709971,51.6095724,25.1709971,51.6095724
121413,40817,WAKRAH BHND CBQ,,,0.0,0.0,,
121414,40768,EZDAN 31,,,25.161727,51.5538442,25.161727,51.5538442
121415,40768,EZDAN 33,,,25.161727,51.5538442,25.161727,51.5538442
121416,40768,EZDAN 36,,,25.1667709,51.5731913,25.1667709,51.5731913
121417,40768,EZDAN 37,,,25.1499147,51.5545658,25.1499147,51.5545658
121418,40768,EZDAN 39,,,25.1435425,51.553376,25.1435425,51.553376
121419,40768,EZDAN 40,,,25.1721247,51.5716001,25.1721247,51.5716001
121420,40770,WAKRAH NEAR PHCC,,,0.0,0.0,,
121421,40862,EV 09,,,25.3272245,51.4615678,25.3272245,51.4615678
121422,40796,NEW SALATA,,,25.2602491,51.5035661,25.2602491,51.5035661
121423,40798,FAREEJ AL ALI,,,0.0,0.0,,
121424,40840,AL THAKHIRA,,,25.7316857,51.5424855,25.7316857,51.5424855
121425,40845,AL KHOR BEHIND ALFARDAN,,,0.0,0.0,,
121426,40845,AL KHOR BEHIND QNB,,,0.0,0.0,,
121427,40819,BARWA MADINATNA - G,,,25.2025843,51.551586,25.2025843,51.551586
121428,40862,EV 56,,,25.2583704,51.4934191,25.2583704,51.4934191
121429,40852,NEW FAREEJ AL HITMI,,,0.0,0.0,,
121430,40773,RAWDAT AL KHAIL,,,25.806681,51.3258633,25.806681,51.3258633
121431,40842,AL JANOUB GARDEN,,,0.0,0.0,,
121432,40843,MURRAH,,,25.2365611,51.4359204,25.2365611,51.4359204
121433,40795,EZDAN 20 ZAHRAT AL JANOUB,,,0.0,0.0,,
121434,40783,NEW THUMAMA (BHND FREE ZONE),,,0.0,0.0,,
121435,40783,THUMAMA (HEALTH CENTRE SIDE),,,0.0,0.0,,
121436,40783,THUMAMA (AL FURJAN 36 SIDE),,,0.0,0.0,,
121437,40849,YASMIN VILLAGE,,,0.0,0.0,,
121438,40781,RAWDAT AL KHAIL STREET,,,25.2741878,51.5276351,25.2741878,51.5276351
121439,40843,AIN KHALID,,,25.2174778,51.4591334,25.2174778,51.4591334
121440,40817,WAKRAH BHND KIMS,,,0.0,0.0,,
121441,40804,LEKBA (DUHAIL SOUTH),,,0.0,0.0,,
121442,40849,EZDAN 28,,,25.161727,51.5538442,25.161727,51.5538442
121443,40844,NUAIJA LULU SIDE,,,0.0,0.0,,
121444,40830,EZDAN 24,,,25.1608591,51.5510759,25.1608591,51.5510759
121445,40821,AL MANSOURA,,,25.2656514,51.5321106,25.2656514,51.5321106
121446,40830,EZDAN 20,,,25.1667709,51.5731913,25.1667709,51.5731913
121447,40822,BARWA CITY,,,25.1955552,51.5040255,25.1955552,51.5040255
121448,40864,EZDAN 28,,,25.161727,51.5538442,25.161727,51.5538442
121449,40864,EZDAN 30,,,25.1493218,51.5623661,25.1493218,51.5623661
121451,40864,YASMIN VILLAGE,,,0.0,0.0,,
121452,40864,EZDAN 27,,,25.161727,51.5538442,25.161727,51.5538442
121453,40864,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121454,40864,SAFWA COMPOUND,,,0.0,0.0,,
121455,40864,EZDAN 31,,,25.161727,51.5538442,25.161727,51.5538442
121456,40864,EZDAN 33,,,25.161727,51.5538442,25.161727,51.5538442
121457,40864,EZDAN 36,,,25.1667709,51.5731913,25.1667709,51.5731913
121459,40864,EZDAN 39,,,25.1435425,51.553376,25.1435425,51.553376
121460,40864,EZDAN 40,,,25.1721247,51.5716001,25.1721247,51.5716001
121461,40865,EZDAN 09,,,25.1721247,51.5716001,25.1721247,51.5716001
121462,40865,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121465,40866,AL MUFTAH VILLAGE,,,0.0,0.0,,
121466,40866,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121467,40866,WAKRAH NEAR PHCC,,,0.0,0.0,,
121468,40867,OLD AIRPORT,,,25.2504992,51.5539414,25.2504992,51.5539414
121469,40867,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121470,40868,UMM GHWAILINA,,,0.0,0.0,,
121471,40868,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121472,40869,BIN MAHMOUD,,,25.2803242,51.5143672,25.2803242,51.5143672
121473,40869,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121474,40869,RAWDAT AL KHAIL,,,25.806681,51.3258633,25.806681,51.3258633
121475,40870,AL SADD,,,25.2781809,51.5019019,25.2781809,51.5019019
121476,40870,AL NASR,,,25.2717606,51.5031783,25.2717606,51.5031783
121477,40870,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121478,40871,AIN KHALID,,,25.2174778,51.4591334,25.2174778,51.4591334
121479,40871,ABU HAMOUR,,,25.225796,51.4772388,25.225796,51.4772388
121480,40871,UM AL SANEEM,,,0.0,0.0,,
121481,40871,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121482,40872,AL KHOR,,,25.6837333,51.5031212,25.6837333,51.5031212
121483,40872,THAKHIRA,,,25.6837333,51.5031212,25.6837333,51.5031212
121484,40872,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121486,40873,EZDAN OASIS BLOCK B,,,0.0,0.0,,
121487,40873,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121488,40874,NAJMA,,,25.2689532,51.5424004,25.2689532,51.5424004
121490,40874,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
