School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),7,STAFF (Part 25),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265598,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),2,STAFF (Part 31),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),3,STAFF (Part 36),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),4,STAFF (Part 35),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),5,STAFF (Part 34),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),6,STAFF (Part 33),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),7,STAFF (Part 32),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",265874,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),2,STAFF (Part 32),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),3,STAFF (Part 33),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),4,STAFF (Part 34),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),5,STAFF (Part 35),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),6,STAFF (Part 36),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),7,STAFF (Part 31),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",265874,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),2,STAFF (Part 37),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),3,STAFF (Part 42),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),4,STAFF (Part 41),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),5,STAFF (Part 40),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),6,STAFF (Part 39),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),7,STAFF (Part 38),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268183,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),2,STAFF (Part 38),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),3,STAFF (Part 39),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),4,STAFF (Part 40),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),5,STAFF (Part 41),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),6,STAFF (Part 42),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),7,STAFF (Part 37),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268183,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),2,STAFF (Part 43),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),3,STAFF (Part 48),PICK UP,0,4,4,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),4,STAFF (Part 47),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),5,STAFF (Part 46),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),6,STAFF (Part 45),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),7,STAFF (Part 44),PICK UP,0,5,5,2.27,3.3
"PODAR PEARL SCHOOL, AL MESHAF",268185,AM (Pickup),8,SCHOOL,DROP OFF,0,0,0,4.87,7.2
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),2,STAFF (Part 44),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),3,STAFF (Part 45),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),4,STAFF (Part 46),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),5,STAFF (Part 47),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),6,STAFF (Part 48),DROP OFF,0,4,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),7,STAFF (Part 43),DROP OFF,0,5,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",268185,PM (Drop-off),8,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),1,SCHOOL,DROP OFF,0,0,0,0.00,0.0
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),2,MUSHEIREB (Part 1),PICK UP,5,1,5,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),3,MUSHEIREB (Part 4),PICK UP,4,1,5,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),4,MUSHEIREB (Part 11),PICK UP,4,0,4,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),5,MUSHEIREB (Part 10),PICK UP,4,0,4,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),6,MUSHEIREB (Part 9),PICK UP,4,0,4,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),7,MUSHEIREB (Part 8),PICK UP,4,0,4,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),8,MUSHEIREB (Part 7),PICK UP,4,0,5,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),9,MUSHEIREB (Part 6),PICK UP,4,0,5,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),10,MUSHEIREB (Part 5),PICK UP,4,0,5,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),11,MUSHEIREB (Part 2),PICK UP,5,1,5,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),12,MUSHEIREB (Part 3),PICK UP,5,1,5,18.07,18.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),13,MUAITHER (Part 1),PICK UP,3,2,4,24.25,27.3
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),14,MUAITHER (Part 2),PICK UP,2,2,4,24.25,27.3
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),15,MUAITHER (Part 3),PICK UP,2,1,4,24.25,27.3
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),16,AL MURAIKH,PICK UP,1,0,1,31.33,36.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),17,FAREEJ AL SOUDAN,PICK UP,2,0,2,35.47,43.3
"PODAR PEARL SCHOOL, AL MESHAF",56206,AM (Pickup),18,SCHOOL,DROP OFF,0,0,0,42.07,52.2
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),1,SCHOOL,PICK UP,0,0,0,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),2,FAREEJ AL SOUDAN,DROP OFF,2,0,2,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),3,AL MURAIKH,DROP OFF,1,0,1,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),4,MUAITHER (Part 3),DROP OFF,2,1,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),5,MUAITHER (Part 2),DROP OFF,2,2,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),6,MUAITHER (Part 1),DROP OFF,3,2,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),7,MUSHEIREB (Part 3),DROP OFF,5,1,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),8,MUSHEIREB (Part 2),DROP OFF,5,1,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),9,MUSHEIREB (Part 5),DROP OFF,4,0,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),10,MUSHEIREB (Part 6),DROP OFF,4,0,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),11,MUSHEIREB (Part 7),DROP OFF,4,0,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),12,MUSHEIREB (Part 8),DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),13,MUSHEIREB (Part 9),DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),14,MUSHEIREB (Part 10),DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),15,MUSHEIREB (Part 11),DROP OFF,4,0,4,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),16,MUSHEIREB (Part 4),DROP OFF,4,1,5,N/A,N/A
"PODAR PEARL SCHOOL, AL MESHAF",56206,PM (Drop-off),17,MUSHEIREB (Part 1),DROP OFF,5,1,5,N/A,N/A
