School,Bus Plate,Trip Type,Sequence,Stop Name,Activity,Students,Staff,Total Pax,Dist (km),Time (min)
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),3,MAMOURA,DROP OFF,5,6,11,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),4,WUKAIR ( T / A),DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),5,WUKAIR,DROP OFF,1,2,3,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),6,EZDAN 07,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),7,EZDAN 05,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),8,EZDAN 06,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),9,EZDAN 04,DROP OFF,0,2,2,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),10,EZDAN 29,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),11,EZDAN 11,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),12,EZDAN 20,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),13,EZDAN 37,DROP OFF,2,1,3,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),14,EZDAN 03,DROP OFF,0,1,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),15,EZDAN OASIS,DROP OFF,10,8,18,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),16,BARWA CITY,DROP OFF,1,0,1,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),17,AIN KHALID,DROP OFF,4,2,6,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),18,ABU HAMOUR,DROP OFF,2,7,9,N/A,N/A
"PEARL SCHOOL, AL THUMAMA",335179 (Trip 2),PM (Drop-off),19,SCHOOL,PICK UP,0,0,0,N/A,N/A
